directive_title,directive_type,brand_code,status
Clicks Hero Scheduler CTA,goal,FSP,Done
Clicks Hero Scheduler CTA,goal,GUY,To do
Clicks Hero Scheduler CTA,goal,JUK,To do
Clicks Hero Scheduler CTA,goal,MOJ,To do
Clicks Hero Scheduler CTA,goal,MRH,To do
Clicks Hero Scheduler CTA,goal,MRR,To do
Clicks Hero Scheduler CTA,goal,MRR-CA,N/A
Clicks Hero Scheduler CTA,goal,MRE,To do
Clicks Hero Scheduler CTA,goal,SHG,N/A
Clicks Hero Scheduler CTA,goal,WDG,N/A
Clicks Footer SF Submit CTA,goal,MRA,To do
Clicks Footer SF Submit CTA,goal,ASV,To do
Clicks Footer SF Submit CTA,goal,MDG,Done
Clicks Footer SF Submit CTA,goal,PDS,To do
Clicks Footer SF Submit CTA,goal,RBW,To do
Clicks Footer SF Submit CTA,goal,MLY,To do
Clicks Footer SF Submit CTA,goal,FSP,To do
Clicks Footer SF Submit CTA,goal,GUY,To do
Clicks Footer SF Submit CTA,goal,JUK,To do
Clicks Footer SF Submit CTA,goal,MOJ,To do
Clicks Footer SF Submit CTA,goal,MRH,To do
Clicks Footer SF Submit CTA,goal,MRR,To do
Clicks Footer SF Submit CTA,goal,MRR-CA,N/A
Clicks Footer SF Submit CTA,goal,MRE,To do
Clicks Footer SF Submit CTA,goal,SHG,N/A
Clicks Footer SF Submit CTA,goal,WDG,N/A
Clicks Hero SF Submit CTA,goal,MRA,To do
Clicks Hero SF Submit CTA,goal,ASV,To do
Clicks Hero SF Submit CTA,goal,MDG,Done
Clicks Hero SF Submit CTA,goal,PDS,To do
Clicks Hero SF Submit CTA,goal,RBW,To do
Clicks Hero SF Submit CTA,goal,MLY,To do
Clicks Hero SF Submit CTA,goal,FSP,To do
Clicks Hero SF Submit CTA,goal,GUY,To do
Clicks Hero SF Submit CTA,goal,JUK,To do
Clicks Hero SF Submit CTA,goal,MOJ,To do
Clicks Hero SF Submit CTA,goal,MRH,To do
Clicks Hero SF Submit CTA,goal,MRR,To do
Clicks Hero SF Submit CTA,goal,MRR-CA,N/A
Clicks Hero SF Submit CTA,goal,MRE,To do
Clicks Hero SF Submit CTA,goal,SHG,N/A
Clicks Hero SF Submit CTA,goal,WDG,N/A
Clicks Learn More on Tiles,goal,MRA,Done
Clicks Learn More on Tiles,goal,ASV,Done
Clicks Learn More on Tiles,goal,MDG,Done
Clicks Learn More on Tiles,goal,PDS,Done
Clicks Learn More on Tiles,goal,RBW,Done
Clicks Learn More on Tiles,goal,MLY,To do
